,Issue Date,Maturity date,Coupon Frequency,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,,Fma
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.47,99.48,99.52,99.55,99.73,99.47,99.27,99.60,,99.52
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.47,99.47,99.52,99.55,99.73,99.47,99.25,99.60,,99.51
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,100.50,100.50,100.55,100.60,100.79,100.51,100.29,100.65,,100.55
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,100.54,100.54,100.59,100.60,100.81,100.54,100.31,100.65,,100.58
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,100.55,100.55,100.60,100.60,100.83,100.55,100.32,100.65,,100.58
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,100.54,100.54,100.60,100.60,100.82,100.54,100.33,100.65,,100.58
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,100.54,100.54,100.60,100.60,100.83,100.54,100.31,100.70,,100.59
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,100.83,100.83,100.88,100.90,101.12,100.83,100.61,100.90,,100.86
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,100.84,100.84,100.89,100.90,101.13,100.84,100.60,100.90,,100.87
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,101.02,100.97,100.91,100.90,101.15,100.85,100.61,100.96,,100.94
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,100.14,100.16,100.16,100.18,101.15,100.14,100.18,100.20,,100.17
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,100.11,100.17,100.17,100.16,100.20,100.14,100.17,100.20,,100.17
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,100.59,100.72,100.66,100.70,100.90,100.60,100.34,100.75,,100.67
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.27,99.27,99.27,99.28,99.30,99.26,99.28,99.30,,99.28
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,98.26,98.22,98.23,98.24,98.25,98.18,99.22,98.25,,98.24
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,96.12,96.30,96.26,96.25,96.40,96.12,96.12,96.15,,96.20
PIB-FRB-17,5-Nov-20,5-Nov-22,Quaterly,99.66,99.65,99.65,99.66,99.65,99.65,99.66,99.65,,99.65
PRB-FIB-18,31-Dec-20,31-Dec-23,Half-Yearly,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,,99.00
PIB-FRB-19,6-May-21,6-May-26,Half-Yearly,98.34,98.34,98.34,98.33,98.30,98.34,98.30,98.30,,98.33
PIB-FRB-20,26-Aug-21,26-Aug-23,Quaterly,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,,99.45
